Keyword,Degree Centrality,Betweenness Centrality,Closeness Centrality,Growth(rate),Share(rate),Frequency
adr growth,0.01025641,0,0.1625,70.32596372,0.0124634,53
advertising,0.01025641,0,0.141099855,142.8846357,0.0373901,161
ai,0.020512821,0,0.125563426,48.61121403,0.0720105,308
amadeus,0.020512821,0.104740401,0.194029851,21.33838384,0.0113093,47
analytics,0.01025641,0,0.182242991,36.51436866,0.0343896,144
artificial intelligence,0.005128205,0,0.125321337,19.56792578,0.1781799,756
average daily rate,0.015384615,0,0.164141414,36.64930208,0.0226187,95
b2b marketing,0.046153846,0.036322158,0.164556962,58.57142857,6.92E-03,29
benchmarking,0.025641026,0,0.158794788,111.6598639,0.0288504,124
booking engine,0.061538462,0.286950787,0.228604924,53.73015873,9.00E-03,38
brand awareness,0.035897436,0.007441184,0.164003364,40.81845238,0.0133866,55
business development,0.035897436,0,0.196770938,21.9466718,0.0371593,155
business intelligence,0.035897436,0,0.195979899,20.52712912,0.0364669,154
business transformation,0.066666667,0.152297949,0.203549061,63.88888889,6.92E-03,26
cendyn,0.025641026,0.040408847,0.145522388,-8.333333333,2.31E-03,8
chat,0.01025641,0,0.125401929,13.41269841,7.62E-03,29
chatbots,0.01025641,0,0.125401929,71.91847139,0.0246959,106
chatgpt,0.030769231,0.000185038,0.125725338,262.6674516,0.0426985,183
cloud,0.061538462,0.003616543,0.170305677,15.71428571,0.0115401,47
commercial real estate,0.030769231,3.99E-05,0.158536585,21.76462995,0.0888591,375
communication,0.015384615,0,0.192878338,63.5082954,0.0353129,151
conference,0.005128205,0,0.16062603,22.57611669,0.0207723,87
construction,0.020512821,0,0.132113821,6.093299062,0.0233111,92
consulting,0.015384615,0,0.154761905,-15.31746032,0.0113093,35
convention center,0.020512821,0.013326217,0.15625,93.80952381,4.85E-03,20
csgp,0.056410256,0.008843871,0.179558011,88.66883117,0.0113093,48
customer engagement,0.046153846,0.06934553,0.182926829,40.37037037,0.0193874,83
customer experience,0.035897436,0,0.193644489,194.0394839,0.1336349,578
customer feedback,0.087179487,0.009753265,0.202702703,17.85714286,5.08E-03,21
customer relationship management,0.015384615,0,0.127284595,63.57804233,0.0311584,134
customer satisfaction,0.041025641,0,0.194029851,34.41626657,0.0426985,180
customer success,0.061538462,0.003859209,0.197768763,43.33333333,3.46E-03,14
data,0.005128205,0,0.192307692,6.832336337,0.0341588,141
data analytics,0.030769231,3.99E-05,0.158536585,32.28892544,0.0260807,109
data benchmarking,0.066666667,0.080554974,0.202702703,309.0780874,0.0145406,62
data integration,0.020512821,1.76E-05,0.127367734,53.25892857,0.0113093,47
data science,0.030769231,3.52E-05,0.183788878,27.32638889,8.77E-03,37
data driven marketing,0.035897436,0.002479551,0.197368421,-4.166666667,1.85E-03,5
demand,0.005128205,0,0.165254237,125.25649,0.0547003,236
destination,0.005128205,0,0.146837349,24.20048701,0.0150022,63
digital marketing,0.030769231,0.005329877,0.205047319,39.51319369,0.0660096,279
digital transformation,0.015384615,0,0.127284595,-3.14454248,0.1190943,484
direct booking,0.020512821,0.002054203,0.195783133,16.75234488,0.0196183,79
direct booking,0.051282051,0.012486376,0.19918284,16.75234488,0.0196183,79
distribution,0.035897436,0,0.195979899,41.66035354,0.016387,69
economic growth,0.005128205,0,0.146726862,24.86540148,0.0362361,145
economic impact,0.030769231,0.064191369,0.164695946,19.01425926,0.0203107,79
email,0.005128205,0,0.134761576,105.0595238,6.92E-03,29
emea,0.046153846,0,0.194223108,131.5972222,9.69E-03,40
employment,0.046153846,0.022019726,0.171202809,63.54166667,5.54E-03,22
energy efficiency,0.005128205,0,0.114235501,13.22389052,0.2848109,1192
environmental impact,0.01025641,0,0.128797886,22.49477861,0.0205415,83
europe,0.005128205,0,0.17165493,25.02442002,0.016387,67
expertise,0.030769231,0.002581725,0.167525773,-41.66666667,1.38E-03,3
feasibility study,0.025641026,0.074453251,0.174887892,54.16666667,2.54E-03,10
feedback,0.056410256,4.34E-05,0.19558676,29.24512987,0.0180026,74
fitness centre,0.005128205,0,0.143699337,36.11111111,2.54E-03,10
future,0.01025641,0.020407084,0.163179916,0.861742424,0.0156946,59
generative ai,0.020512821,0,0.125563426,73.85785893,0.0413137,175
global economics,0.005128205,0,0.128289474,13.42615718,0.0309276,127
global economy,0.015384615,0.01025641,0.147058824,31.71768707,9.23E-03,38
global hospitality,0.025641026,0,0.158794788,156.813246,0.0348512,148
global network,0.066666667,0.07916116,0.199386503,94.09722222,9.46E-03,40
global operation,0.020512821,1.76E-05,0.127367734,12.14285714,4.85E-03,17
global tourism,0.030769231,0.134275956,0.185361217,81.92830979,0.014079,60
google,0.030769231,0.001504894,0.218365062,23.49206349,0.0147714,60
group demand,0.025641026,0.01025641,0.166952055,21.875,0.0113093,47
group travel,0.005128205,0,0.14455152,10.95024767,0.0180026,74
guest experience,0.01025641,0,0.18696069,29.17430824,0.045699,193
guest feedback,0.082051282,0.006504655,0.203336809,55.55555556,3.69E-03,14
guest review,0.076923077,0.007664048,0.202282158,50,3.46E-03,13
guest satisfaction,0.051282051,0,0.19441675,55.43269231,0.0108477,45
guest service,0.035897436,0.04084739,0.191176471,7.291666667,3.69E-03,12
gx platform,0.102564103,0.083019462,0.229411765,91.66666667,2.54E-03,10
holiday,0.005128205,0,0.162364696,72.52645503,0.0166178,69
cloudbased hospitality business intelligence,0.092307692,0.059362726,0.241635688,-50,6.92E-04,1
hospitality technology,0.061538462,0.009839736,0.197969543,83.41841492,0.0297736,128
hotel booking,0.015384615,0.003670436,0.208779443,16.03747801,0.0461606,180
hotel management system,0.082051282,0.028942089,0.200205339,179.2413381,0.0166178,71
hotel market,0.005128205,0,0.141509434,41.58702044,0.0246959,105
hotel marketing,0.030769231,3.52E-05,0.183788878,8.779761905,0.0251575,94
hotel marketing podcast,0.046153846,0.0149409,0.222348917,0,4.62E-04,1
hotel opening,0.025641026,3.52E-05,0.13220339,51.61564626,7.39E-03,31
hotel performance,0.005128205,0,0.157512116,50.57052486,0.0189258,80
hotel pms,0.066666667,0.013446445,0.171353251,102.7777778,5.54E-03,23
hotel project,0.030769231,0.009142771,0.137034434,42.63888889,4.85E-03,20
hotel property management,0.087179487,0.051310599,0.241038319,45,2.08E-03,8
hotel reservation,0.005128205,0,0.146726862,37.25044563,0.032774,140
hotel reservation,0.01025641,0.01025641,0.171806167,37.25044563,0.032774,140
hotel revenue management,0.051282051,0.219322901,0.236938032,101.8596681,0.0143098,61
hotel review,0.082051282,0.013411708,0.221088435,30,3.92E-03,16
hotel sale,0.005128205,0,0.16062603,63.82440476,0.017541,73
hotel search,0.092307692,0.16365976,0.241935484,34.16666667,2.77E-03,10
