Keyword,Degree Centrality,Betweenness Centrality,Closeness Centrality,Growth(rate),Share(rate),Frequency,Degree (Median),Degree (Mean),Betweenness (Median),Betweenness (Mean),Share (Median),Share (Mean),,,Median,,,Mean,,
adr growth,0.01025641,0,0.1625,70.32596372,0.0124634,53,Emerging,Emerging,Emerging,Emerging,Hot,Emerging,,,Degree,Betweenness,Share,Degree,Betweenness,Share
advertising,0.01025641,0,0.141099855,142.8846357,0.0373901,161,Emerging,Emerging,Emerging,Emerging,Hot,Hot,,Emerging,40,43,54,40,55,60
ai,0.020512821,0,0.125563426,48.61121403,0.0720105,308,Emerging,Niche,Emerging,Niche,Hot,Mature,,Hot,58,55,44,37,22,17
amadeus,0.020512821,0.104740401,0.194029851,21.33838384,0.0113093,47,Niche,Niche,Mature,Mature,Niche,Niche,,Mature,40,43,54,42,25,40
analytics,0.01025641,0,0.182242991,36.51436866,0.0343896,144,Niche,Niche,Niche,Niche,Mature,Mature,,Niche,58,55,44,77,94,79
artificial intelligence,0.005128205,0,0.125321337,19.56792578,0.1781799,756,Niche,Niche,Niche,Niche,Mature,Mature,,,,,,,,
average daily rate,0.015384615,0,0.164141414,36.64930208,0.0226187,95,Niche,Niche,Niche,Niche,Mature,Mature,,,,,,,,
b2b marketing,0.046153846,0.036322158,0.164556962,58.57142857,6.92E-03,29,Hot,Hot,Hot,Hot,Emerging,Emerging,,,,,,,,
benchmarking,0.025641026,0,0.158794788,111.6598639,0.0288504,124,Emerging,Emerging,Emerging,Emerging,Hot,Hot,,,,,,,,
booking engine,0.061538462,0.286950787,0.228604924,53.73015873,9.00E-03,38,Hot,Hot,Hot,Hot,Emerging,Emerging,,,,,,,,
brand awareness,0.035897436,0.007441184,0.164003364,40.81845238,0.0133866,55,Hot,Mature,Hot,Niche,Hot,Niche,,,,,,,,
business development,0.035897436,0,0.196770938,21.9466718,0.0371593,155,Mature,Mature,Niche,Niche,Mature,Mature,,,,,,,,
business intelligence,0.035897436,0,0.195979899,20.52712912,0.0364669,154,Mature,Mature,Niche,Niche,Mature,Mature,,,,,,,,
business transformation,0.066666667,0.152297949,0.203549061,63.88888889,6.92E-03,26,Hot,Hot,Hot,Hot,Emerging,Emerging,,,,,,,,
cendyn,0.025641026,0.040408847,0.145522388,-8.333333333,2.31E-03,8,Niche,Niche,Mature,Mature,Niche,Niche,,,,,,,,
chat,0.01025641,0,0.125401929,13.41269841,7.62E-03,29,Niche,Niche,Niche,Niche,Niche,Niche,,,,,,,,
chatbots,0.01025641,0,0.125401929,71.91847139,0.0246959,106,Emerging,Emerging,Emerging,Emerging,Hot,Hot,,,,,,,,
chatgpt,0.030769231,0.000185038,0.125725338,262.6674516,0.0426985,183,Hot,Emerging,Emerging,Emerging,Hot,Hot,,,,,,,,
cloud,0.061538462,0.003616543,0.170305677,15.71428571,0.0115401,47,Mature,Mature,Mature,Niche,Niche,Niche,,,,,,,,
commercial real estate,0.030769231,3.99E-05,0.158536585,21.76462995,0.0888591,375,Mature,Niche,Niche,Niche,Mature,Mature,,,,,,,,
communication,0.015384615,0,0.192878338,63.5082954,0.0353129,151,Emerging,Emerging,Emerging,Emerging,Hot,Hot,,,,,,,,
conference,0.005128205,0,0.16062603,22.57611669,0.0207723,87,Niche,Niche,Niche,Niche,Mature,Niche,,,,,,,,
construction,0.020512821,0,0.132113821,6.093299062,0.0233111,92,Niche,Niche,Niche,Niche,Mature,Mature,,,,,,,,
